Feature,Importance
MNDWI,0.12138571469651346
NDBI,0.00923700580823485
NDVI,0.14619235831796576
QA_PIXEL,0.016583083839589733
QA_RADSAT,0.0
SR_B1,0.01285424162787571
SR_B2,0.029911375015982
SR_B2_norm,0.03781586272682272
SR_B3,0.011641268464002793
SR_B3_norm,0.007256904713568937
SR_B4,0.02797730316671343
SR_B4_norm,0.024234887228725924
SR_B5,0.052750385626342614
SR_B5_norm,0.03539107803144779
SR_B6,0.027006962163809285
SR_B6_norm,0.0564991108057807
SR_B7,0.019172152780816916
SR_QA_AEROSOL,0.002005057849101417
ST_ATRAN,0.010678143481481588
ST_B10,0.07459688791826283
ST_CDIST,0.021156426863099757
ST_DRAD,0.012973888332056033
ST_EMIS,0.022047588850779443
ST_EMSD,0.04067186557168145
ST_QA,0.009525500529510096
ST_TRAD,0.04452654698029344
ST_URAD,0.008202582916985645
elevation_norm,0.10638610683033049
slope_norm,0.01131970886222529
